time,open,high,low,close,tick_volume,spread,real_volume,EMA_8,EMA_21,RSI,Stoch_K,Stoch_D,BB_High,BB_Low,BB_Mid
2025-05-03 03:10:00,96499.8,96499.8,96499.8,96499.8,1,2880,0,96513.01513353456,96524.209056798,38.17096914769517,52.07790216224976,42.38825644579653,96624.78036546595,96435.99363453405,96530.387
2025-05-03 03:05:00,96501.34,96503.28,96472.18,96499.8,1822,2880,0,96516.79088597301,96526.64996247781,38.17096914769517,44.45608063883579,29.72899797261729,96638.77114051796,96440.82485948206,96539.79800000001
2025-05-03 03:00:00,96496.93,96513.05,96465.84,96501.24,1833,2880,0,96521.64542482245,96529.3349587256,38.64480641927265,30.63078653630405,18.24096467760877,96651.0299844778,96448.73801552218,96549.88399999999
2025-05-03 02:55:00,96492.72,96531.05,96486.05,96496.73,1813,2880,0,96527.4755462003,96532.14445459816,36.529691837564485,14.100126742712034,14.551240679364762,96655.56681566275,96460.81518433726,96558.191
2025-05-03 02:50:00,96511.07,96521.86,96486.42,96493.17,1944,2880,0,96536.25998797179,96535.68590005797,35.01393521555323,9.991980753810232,10.434950304204497,96656.56096921448,96477.90503078554,96567.23300000001
2025-05-03 02:45:00,96513.17,96542.23,96474.48,96511.07,2004,2880,0,96548.57141310658,,39.031164494900494,19.561614541572034,9.888021847384657,96649.62998895791,96493.40801104209,96571.519
2025-05-03 02:40:00,96550.16,96581.41,96510.21,96512.86,1883,2880,0,96559.2861025656,,39.41881690764855,1.7512556172312397,26.830870718032482,96663.06878132002,96470.27121868,96566.67000000001
2025-05-03 02:35:00,96627.55,96632.28,96540.23,96550.36,2015,2880,0,96572.55070329864,,47.97493631177063,8.351195383350712,54.151899358843984,96675.26976075802,96446.19223924198,96560.731
2025-05-03 02:30:00,96612.43,96661.53,96605.72,96626.62,1852,2880,0,96578.89090424111,,77.1733597550764,70.3901611535155,78.78902181451717,96686.94815578355,96411.10384421641,96549.02599999998
2025-05-03 02:25:00,96593.74,96623.62,96546.76,96612.22,1920,2880,0,96565.25401973857,,74.67909136215454,83.71434153966572,84.58149171224383,96672.80294161067,96386.56905838933,96529.686
2025-05-03 02:20:00,96600.46,96620.89,96569.71,96593.91,1881,2880,0,96551.8351682353,,71.25591978143966,82.26256275037026,84.06437974621474,96652.1583237492,96374.84767625079,96513.503
2025-05-03 02:15:00,96584.39,96620.18,96543.63,96600.66,1914,2880,0,96539.81378773108,,74.43571678251811,87.76757084669552,84.99646987698038,96633.39879886518,96359.3092011348,96496.35399999999
2025-05-03 02:10:00,96586.99,96628.89,96546.98,96584.31,2027,2880,0,96522.42915565423,,71.82533254506887,82.16300564157845,80.98369024675839,96612.65346077511,96367.70053922488,96490.177
2025-05-03 02:05:00,96537.47,96623.72,96526.53,96587.15,2065,2880,0,96504.74891441259,,72.93413829053078,85.0588331426672,81.5224151805118,96587.2839802542,96375.79601974582,96481.54000000001
2025-05-03 02:00:00,96465.33,96586.37,96431.68,96536.03,1909,2880,0,96481.20574710189,,64.47214886872516,75.72923195602951,68.11511207213806,96555.10885284605,96391.62714715392,96473.36799999999
2025-05-03 01:55:00,96452.83,96465.08,96398.11,96462.58,1749,2880,0,96465.5416748453,,42.22746740184448,83.7791804428387,49.249739346400794,96559.32314552646,96389.40885447356,96474.36600000001
2025-05-03 01:50:00,96433.46,96466.39,96378.96,96453.47,1884,2880,0,96466.38786765825,,38.10769021192615,44.83692381754597,26.835372603716593,,,
2025-05-03 01:45:00,96433.12,96446.27,96397.29,96433.31,1864,2880,0,96470.07868698919,,28.426469436822302,19.133113778817748,20.5376592986192,,,
2025-05-03 01:40:00,96449.36,96457.9,96405.96,96433.22,1847,2880,0,,,28.38360362138792,16.536080214786054,16.24338557791047,,,
2025-05-03 01:35:00,96422.26,96478.77,96403.04,96450.39,1872,2880,0,,,,25.943783902253795,,,,
2025-05-03 01:30:00,96539.66,96545.14,96409.07,96422.42,1969,2880,0,,,,6.250292616691553,,,,
2025-05-03 01:25:00,96499.28,96585.55,96499.28,96538.89,1875,2880,0,,,,,,,,
2025-05-03 01:20:00,96504.52,96537.61,96496.21,96497.94,1916,2880,0,,,,,,,,
2025-05-03 01:15:00,96545.82,96555.57,96500.4,96505.43,2015,2880,0,,,,,,,,
2025-05-03 01:10:00,96561.36,96622.66,96528.98,96546.01,1922,2880,0,,,,,,,,
